Waypoint(Transform(Location(x=228.821075, y=114.995583, z=0.605375), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820892, y=115.002838, z=0.605523), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820786, y=115.007347, z=0.605616), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820786, y=115.007133, z=0.605611), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820816, y=115.006149, z=0.605591), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820831, y=115.005402, z=0.605576), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820847, y=115.004997, z=0.605567), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820847, y=115.004868, z=0.605565), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820847, y=115.004814, z=0.605564), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820847, y=115.004799, z=0.605563), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.820847, y=115.004799, z=0.605563), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.819824, y=115.047028, z=0.606428), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.817154, y=115.156273, z=0.608666), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.814423, y=115.268715, z=0.610969), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.811554, y=115.386940, z=0.613391), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.808502, y=115.512535, z=0.615964), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.805252, y=115.645866, z=0.618695), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.801819, y=115.786842, z=0.621583), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.798218, y=115.935257, z=0.624623), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.794434, y=116.090782, z=0.627808), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.790482, y=116.253075, z=0.631133), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.786377, y=116.421745, z=0.634588), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.782135, y=116.596466, z=0.638167), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.777740, y=116.776863, z=0.641862), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.773239, y=116.962471, z=0.645664), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.768600, y=117.152939, z=0.649566), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.763855, y=117.348137, z=0.653564), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.759003, y=117.547821, z=0.657654), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.754044, y=117.751717, z=0.661831), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.748978, y=117.959541, z=0.666088), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.743835, y=118.171089, z=0.670421), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.738602, y=118.386101, z=0.674826), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.733307, y=118.604401, z=0.679297), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.727921, y=118.825661, z=0.683829), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.722473, y=119.049721, z=0.688419), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.716949, y=119.276527, z=0.693065), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.711380, y=119.505928, z=0.697764), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.705734, y=119.737740, z=0.702512), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.700043, y=119.971825, z=0.707307), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.694290, y=120.208061, z=0.712146), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.688507, y=120.446312, z=0.717027), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.682663, y=120.686401, z=0.721945), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.676788, y=120.928230, z=0.726898), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.670853, y=121.171761, z=0.731887), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.664902, y=121.416954, z=0.736909), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.658890, y=121.663750, z=0.741964), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.652847, y=121.912132, z=0.747052), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.646774, y=122.162025, z=0.752171), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.640656, y=122.413475, z=0.757322), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.634506, y=122.666328, z=0.762501), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.628326, y=122.920616, z=0.767710), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.622101, y=123.176323, z=0.772948), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.615860, y=123.433449, z=0.778215), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.609573, y=123.691933, z=0.783510), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.603241, y=123.951775, z=0.788832), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.596893, y=124.212914, z=0.794181), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.590515, y=124.475357, z=0.799557), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.584106, y=124.739052, z=0.804958), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.577652, y=125.003960, z=0.810385), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.571182, y=125.270134, z=0.815837), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.564682, y=125.537483, z=0.821314), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.558151, y=125.806015, z=0.826814), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.551590, y=126.075691, z=0.832338), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.544998, y=126.346519, z=0.837886), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.538391, y=126.618431, z=0.843455), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.531754, y=126.891449, z=0.849048), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.525085, y=127.165520, z=0.854662), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.518402, y=127.440575, z=0.860296), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.511673, y=127.716721, z=0.865953), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.504944, y=127.993828, z=0.871629), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.498184, y=128.271942, z=0.877326), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.491394, y=128.550995, z=0.883042), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.484573, y=128.830963, z=0.888777), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.477753, y=129.111877, z=0.894531), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.470901, y=129.393677, z=0.900303), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.464020, y=129.676392, z=0.906094), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.457123, y=129.959961, z=0.911903), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.450211, y=130.244400, z=0.917729), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.443268, y=130.529663, z=0.923572), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.436310, y=130.815781, z=0.929433), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.429337, y=131.102692, z=0.935310), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.422333, y=131.390411, z=0.941204), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.415314, y=131.678879, z=0.947113), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.408279, y=131.968155, z=0.953038), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.401230, y=132.258148, z=0.958979), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.394165, y=132.548889, z=0.964934), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.387070, y=132.840378, z=0.970905), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.379959, y=133.132568, z=0.976890), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.372833, y=133.425446, z=0.982889), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.365692, y=133.719009, z=0.988903), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.358536, y=134.013260, z=0.994930), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.351364, y=134.308167, z=1.000971), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.344177, y=134.603668, z=1.007024), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.336975, y=134.899780, z=1.013089), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.329758, y=135.196533, z=1.019168), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.322525, y=135.493896, z=1.025259), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.315292, y=135.791855, z=1.031363), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.308029, y=136.090424, z=1.037479), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.300766, y=136.388885, z=1.043592), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.293488, y=136.687881, z=1.049717), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.286209, y=136.987579, z=1.055856), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.278900, y=137.287827, z=1.062006), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.271591, y=137.588638, z=1.068168), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.264282, y=137.888824, z=1.074317), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.256973, y=138.189301, z=1.080472), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.249649, y=138.490570, z=1.086643), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.242310, y=138.792496, z=1.092827), Rotation(pitch=1.173292, yaw=91.393204, roll=0.000000)))
Waypoint(Transform(Location(x=228.235428, y=139.050964, z=1.099019), Rotation(pitch=1.173292, yaw=91.679977, roll=0.000000)))
Waypoint(Transform(Location(x=228.227234, y=139.306839, z=1.105218), Rotation(pitch=1.173292, yaw=91.985939, roll=0.000000)))
Waypoint(Transform(Location(x=228.217712, y=139.561813, z=1.111397), Rotation(pitch=1.173292, yaw=92.290871, roll=0.000000)))
Waypoint(Transform(Location(x=228.206818, y=139.817062, z=1.117583), Rotation(pitch=1.173292, yaw=92.596191, roll=0.000000)))
Waypoint(Transform(Location(x=228.182159, y=140.305588, z=1.129428), Rotation(pitch=1.173292, yaw=93.180786, roll=0.000000)))
Waypoint(Transform(Location(x=228.167267, y=140.561523, z=1.135636), Rotation(pitch=1.173292, yaw=93.487183, roll=0.000000)))
Waypoint(Transform(Location(x=228.150925, y=140.818115, z=1.141862), Rotation(pitch=1.173292, yaw=93.794449, roll=0.000000)))
Waypoint(Transform(Location(x=228.133286, y=141.073807, z=1.148069), Rotation(pitch=1.173292, yaw=94.100777, roll=0.000000)))
Waypoint(Transform(Location(x=228.114258, y=141.329514, z=1.154277), Rotation(pitch=1.173292, yaw=94.407196, roll=0.000000)))
Waypoint(Transform(Location(x=228.093811, y=141.585922, z=1.160506), Rotation(pitch=1.173292, yaw=94.714622, roll=0.000000)))
Waypoint(Transform(Location(x=228.047928, y=142.107468, z=1.173185), Rotation(pitch=1.173292, yaw=95.340355, roll=0.000000)))
Waypoint(Transform(Location(x=228.023254, y=142.364120, z=1.179428), Rotation(pitch=1.173292, yaw=95.648499, roll=0.000000)))
